legacy_work_key,source_count,source_ids,original_paths,note
C132,2,LS-WS-0162;LS-WS-0163,audit/WS_C132_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C132_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_EXECUTION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C133,2,LS-WS-0164;LS-WS-0165,audit/WS_C133_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C133_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C134,2,LS-WS-0166;LS-WS-0167,audit/WS_C134_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C134_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C135,2,LS-WS-0168;LS-WS-0169,audit/WS_C135_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C135_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C136,2,LS-WS-0170;LS-WS-0171,audit/WS_C136_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C136_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_GO_DECISION_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C137,2,LS-WS-0172;LS-WS-0173,audit/WS_C137_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C137_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_PRE_ACTIVATION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C138,2,LS-WS-0174;LS-WS-0175,audit/WS_C138_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C138_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_AUTHORIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C139,2,LS-WS-0176;LS-WS-0177,audit/WS_C139_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C139_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_EXECUTION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C14,6,LS-WS-0014;LS-WS-0015;LS-WS-0016;LS-WS-0200;LS-WS-0201;LS-WS-0585,audit/_artifacts/c14-forensic-summary.csv;audit/_artifacts/c14-is-run-1.json;audit/_artifacts/c14-is-run-2.json;audit/WS_C14_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C14_VARIABLE_RISK_EXIT_CATALOG_FINAL_RESULT.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C14_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C140,2,LS-WS-0180;LS-WS-0181,audit/WS_C140_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C140_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C141,2,LS-WS-0182;LS-WS-0183,audit/WS_C141_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C141_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C142,2,LS-WS-0184;LS-WS-0185,audit/WS_C142_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C142_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C143,2,LS-WS-0186;LS-WS-0187,audit/WS_C143_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C143_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_GO_DECISION_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C144,2,LS-WS-0188;LS-WS-0189,audit/WS_C144_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C144_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_PRE_ACTIVATION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C145,2,LS-WS-0190;LS-WS-0191,audit/WS_C145_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C145_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_AUTHORIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C146,2,LS-WS-0192;LS-WS-0193,audit/WS_C146_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C146_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_EXECUTION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C147,2,LS-WS-0194;LS-WS-0195,audit/WS_C147_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C147_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C148,2,LS-WS-0196;LS-WS-0197,audit/WS_C148_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C148_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OBSERVATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C149,2,LS-WS-0198;LS-WS-0199,audit/WS_C149_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C149_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C15,9,LS-WS-0017;LS-WS-0018;LS-WS-0019;LS-WS-0020;LS-WS-0021;LS-WS-0022;LS-WS-0229;LS-WS-0230;LS-WS-0572,audit/_artifacts/c15-final-evidence-summary.json;audit/_artifacts/c15-fix4-param-summary.csv;audit/_artifacts/c15-root-cause-cross-catalog-summary.csv;audit/_artifacts/c15-root-cause-decision-supersession-note.json;audit/_artifacts/c15-root-cause-decision.json;audit/_artifacts/c15-root-cause-param-metrics.csv;audit/WS_C15_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C15_STRATEGY_QUALITY_ROOT_CAUSE_FINAL_RESULT.md;system/policies/weekly_swing/_refs/WS_C15_ROOT_CAUSE_AND_DIAGNOSTIC_PREREQUISITE_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C150,2,LS-WS-0202;LS-WS-0203,audit/WS_C150_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C150_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_FINAL_EXECUTION.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C151,2,LS-WS-0204;LS-WS-0205,audit/WS_C151_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C151_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_POST_EXECUTION_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C152,2,LS-WS-0206;LS-WS-0207,audit/WS_C152_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C152_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_POST_EXECUTION_OBSERVATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C153,2,LS-WS-0208;LS-WS-0209,audit/WS_C153_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C153_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_GENERATION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C154,2,LS-WS-0210;LS-WS-0211,audit/WS_C154_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C154_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_GENERATION_EXECUTION.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C155,2,LS-WS-0212;LS-WS-0213,audit/WS_C155_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C155_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_GENERATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C156,2,LS-WS-0214;LS-WS-0215,audit/WS_C156_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C156_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_GENERATION_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C157,2,LS-WS-0216;LS-WS-0217,audit/WS_C157_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C157_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_GENERATION_GO_DECISION_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C158,6,LS-WS-0218;LS-WS-0219;LS-WS-0220;LS-WS-0221;LS-WS-0222;LS-WS-0223,audit/WS_C158_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C158_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_BOUNDARY_REVIEW.md;audit/WS_C158_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_EXECUTION.md;audit/WS_C158_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_GO_DECISION_FINALIZATION_REVIEW.md;audit/WS_C158_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_OPERATOR_GO_NO_GO_REVIEW.md;audit/WS_C158_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C159,5,LS-WS-0224;LS-WS-0225;LS-WS-0226;LS-WS-0227;LS-WS-0228,audit/WS_C159_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C159_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_POST_PUBLICATION_OBSERVATION_GO_DECISION_FINALIZATION_REVIEW.md;audit/WS_C159_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_POST_PUBLICATION_OBSERVATION_OPERATOR_GO_NO_GO_REVIEW.md;audit/WS_C159_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_POST_PUBLICATION_OBSERVATION_RESULT_REVIEW.md;audit/WS_C159_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_CONTROLLED_OUTPUT_PUBLICATION_POST_PUBLICATION_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
