source_id,legacy_work_key,original_path,section_no,heading,start_line,end_line,role,role_confidence,split_required,section_sha1
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,44,C50 Governance - IS Validation and Anti-Overfit Check,2147,2241,GOVERNANCE,HIGH,NO,7230A7DF2D5A500BABD33BA8C4E5B7697902BB12
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,45,C51 Governance â€” Concentration Dependency Redesign Review,2242,2367,GOVERNANCE,HIGH,NO,49B769FC38AA6FCC96498A0A15E42F05EB5743D2
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,46,C52 Governance â€” Concentration Dependency Redesign Continuation,2368,2420,GOVERNANCE,HIGH,NO,56A9EEC5E72D6E1F0994850CDAF5061EF5CA6847
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,47,C53 Governance â€” IS Evidence Expansion for C52 Redesign,2421,2450,GOVERNANCE,HIGH,NO,1BDB99488537F348CB8A32AE75E6CC18CF9DB3E6
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,48,C54 Governance â€” Rolling Stability Redesign or Recalibration (IS Only),2451,2475,GOVERNANCE,HIGH,NO,E45AA7FE75510C71913281E062FF29DCBA1FBC70
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,49,C55 Governance â€” Rolling Stability Redesign Continuation (IS Only),2476,2524,GOVERNANCE,HIGH,NO,76B507165772B570DBB1A6AC3390A8F48A403980
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,50,C56 Governance â€” Rolling Stability Redesign Continuation (IS Only),2525,2586,GOVERNANCE,HIGH,NO,CF5EFAE72D0D007D3B20ECF0A1EEA47F2329A99F
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,51,Governance Addendum â€” C57 Regime Field Reconstruction Continuation IS Only,2587,2700,GOVERNANCE,HIGH,NO,FEDA78B22CDE5C21BBE55592D7141AF60C6D109D
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,52,C57 fix2 governance clarification,2701,2712,GOVERNANCE,HIGH,NO,B0BE5D065EFCE756B2CAB22177FDBC0ED2EF0D31
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,53,Governance Addendum â€” C57 Final Operator Validation,2713,2743,GOVERNANCE,HIGH,NO,93B0252F4A43FB1D35F9E4E60713E396A05B2BC2
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,54,Database Dictionary Required Rule,2744,2773,GOVERNANCE,HIGH,NO,F875D85CCA02E6954A43F801D74EAD6FFE4E4018
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,55,Governance Addendum â€” C58 IS-Only Loss-Cluster/Concentration Redesign,2774,2806,GOVERNANCE,HIGH,NO,416AEEDA5301DBA6C3CFFA2ADC1AC8C6D619B318
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,56,Governance Closeout â€” C58 Final Operator Validation,2807,2850,GOVERNANCE,HIGH,NO,F576DC2AC7F8E2ED77FE4CDD906FDFEE9046518D
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,57,Governance Addendum â€” C59 IS-Only Loss-Cluster or Branch/Bucket Redesign,2851,2898,GOVERNANCE,HIGH,NO,38EFB8070FB62A65B326C6F6BCBD36AB5E249486
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,58,Governance Closeout â€” C59 Final Operator Validation,2899,2946,GOVERNANCE,HIGH,NO,79ACCD2AEEB9EE28A0BF939ADA98344539D7C429
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,59,Audit Governance Update â€” C60,2947,2990,GOVERNANCE,HIGH,NO,CD6236842FC80107F40BEB4CD16262A0F9B969AB
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,60,Governance Closeout â€” C60 Final Operator Validation,2991,3043,GOVERNANCE,HIGH,NO,2C618807F6FCE0F63EB9BD8B9DA821335946ABEA
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,61,Governance Update â€” C61 Signal Quality Rebuild For Weak Regime IS-Only,3044,3114,GOVERNANCE,HIGH,NO,AE2345EC2028BCDF0A32E61A340FF4F75C95B226
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,62,Governance Update â€” C62 Pre-Lock Review For C61 Signal Quality Candidates IS-Only,3115,3171,GOVERNANCE,HIGH,NO,BB9ADBA156824D5E59C00EA1254249FA01386DE9
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,63,Governance Final â€” C62 Pre-Lock Review For C61 Signal Quality Candidates IS-Only,3172,3237,GOVERNANCE,HIGH,NO,F166A2D32D244F500D584608090783E2ABB04DBD
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,64,Governance Update â€” C63 Pre-OOS Unlock Review IS-Only,3238,3294,GOVERNANCE,HIGH,NO,934DC2AFD4F7475CFF37C0BEFFCC6BA27BADDCB5
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,65,Final Governance Evidence â€” C63,3295,12447,GOVERNANCE,HIGH,NO,CB6F5B0B7FBDC46371B829B1060BEC4AAC8DDCE6
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,D70F43C5805CB8DC2C559F4350E7FC2AE36E4F97
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,1,Context,3,5,GOVERNANCE,HIGH,NO,DFD36320E0BF06D6B48B9D58006496E2B10B5D25
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,2,Example A — Guidance Package Review,6,21,GOVERNANCE,HIGH,NO,F29497F4C493A45AB87F3E590AAB3A76A6FF8957
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,3,Example B — Code Review Finding Pattern,22,38,GOVERNANCE,HIGH,NO,E418F8D452A867AE53D03C00D5B02503F3A9BA44
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,4,Example C — Manual Input Stability Review,39,49,GOVERNANCE,HIGH,NO,0CCBAD1832E445C25ABF55A40DE9B3F64683CA79
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,5,Example D — Real API Payload Review Pattern,50,66,GOVERNANCE,HIGH,NO,6EE5FBDF3D902EF663888E8B33187AD49603BCC0
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,6,Example E — Real Persistence Review Pattern,67,82,GOVERNANCE,HIGH,NO,82B13E72313C2D3EF40E9BD431AA340B0D780BD1
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,7,Example F — Real Manual Input Flow Review Pattern,83,97,GOVERNANCE,HIGH,NO,CCF75D5FFBCDF9E367FC806C57DC2CF50B3DFE68
LS-WS-0055,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,70E7F5C1FCE387709DCB771B92E06DE2443D2565
LS-WS-0055,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,1,Purpose,3,5,GOVERNANCE,HIGH,NO,C65FC6C5746A5B420E6FBD55613FE1FF45589A0C
LS-WS-0055,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,2,Fokus Review,6,11,GOVERNANCE,HIGH,NO,66D58AFA65FBF99BF112D75F1A1BF75025DED516
LS-WS-0055,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,3,Minimal Temuan yang Dicari,12,16,GOVERNANCE,HIGH,NO,182CCF73DF249276CBC96F6B2A2BF0D9F7A23F7A
LS-WS-0056,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_PERSISTENCE_REVIEW_EXAMPLE.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,60493D906F926380A48097BADF0FB34491BBE2E1
LS-WS-0056,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_PERSISTENCE_REVIEW_EXAMPLE.md,1,Purpose,3,5,GOVERNANCE,HIGH,NO,6A862038AA55C7BAB18521A70857453430362C09
LS-WS-0056,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_PERSISTENCE_REVIEW_EXAMPLE.md,2,Fokus Review,6,10,GOVERNANCE,HIGH,NO,4310D1C4767776DD33A97096692FD8AC35662670
LS-WS-0056,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_PERSISTENCE_REVIEW_EXAMPLE.md,3,Minimal Temuan yang Dicari,11,14,GOVERNANCE,HIGH,NO,72094CC15964BD51CA630DA1E94597598625E17B
LS-WS-0057,,audit/implementation/README.md,0,(preamble/title),1,13,CONTEXT,CONTEXT,NO,F5420E764C4FD3D3D22816CD6D8C507AAEB1618B
LS-WS-0057,,audit/implementation/README.md,1,Reading Guard,14,37,IMPLEMENTATION,HIGH,NO,E20BFA900C09D95FA018A1893BA60552240684E2
LS-WS-0057,,audit/implementation/README.md,2,Code/App Real Review Notes,38,47,IMPLEMENTATION,HIGH,NO,3098523E28FFBE27E4449F80E53180E55DC77244
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,5EC333FFB9D41287004BF712E3CAB321D435FA00
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,1,Purpose,3,6,GOVERNANCE,HIGH,NO,EC732CF44177B4DB04D4B937117B87B53F6C8699
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,2,Scope,7,24,GOVERNANCE,HIGH,NO,B0B7667F891EA979138A7C3699E3F7E99A50C3C2
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,3,Locked Scope,25,31,GOVERNANCE,HIGH,NO,75BF0E61B3B82663E0B26BE9319EABB275C2113E
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,4,Layer Boundary Rule,32,37,GOVERNANCE,HIGH,NO,4C7B3AFCAADA5ACF997D9354AFC515D0389418C8
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,5,Core Implementation Rules,38,46,GOVERNANCE,HIGH,NO,37E5EE48B63CE3F978B902C39F2D87FF95467943
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,6,Additional Boundary Expectations,47,53,GOVERNANCE,HIGH,NO,DED21467AA3F4DC52B158CD1B2FACA8FA57101E4
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,7,Audit Outputs,54,63,GOVERNANCE,HIGH,NO,23CF3A940E73ECC51EC201E9E6F40DCC13D96C8F
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,8,Final Rule,64,68,GOVERNANCE,HIGH,NO,A640DC98FFF22A9DEE04BF5F223B0B2725EC97EF
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,9,Real-App Evidence Rule,69,75,GOVERNANCE,HIGH,NO,D7BA8144346A972822794800180A9C429EFF92F5
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,0,(preamble/title),1,9,CONTEXT,CONTEXT,NO,E76BC42BDC5964E9A1F1EAD0068DEFF041E5E67E
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,1,Applicability Rule,10,13,GOVERNANCE,HIGH,NO,E4B547CA0D95DD167FA0BA5ADD6F9D0E97A83676
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,2,Ringkasan,14,19,GOVERNANCE,HIGH,NO,2C93BA38ACACF1BFFDABB3DA48F678AE7A50EFC2
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,3,Tabel Audit Singkat,20,32,GOVERNANCE,HIGH,NO,B1A85EA4925D59E3AA3317843B0EC3D3FFCC9CD4
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,4,Rule Inti,33,43,GOVERNANCE,HIGH,NO,04B17308D0CA755DC5B5987B3DCED4FA04443FDA
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,5,Temuan Utama,44,47,GOVERNANCE,HIGH,NO,6ADD7A8259FF1371ED6DBFBE73D8F230A339C665
LS-WS-0060,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHANGE_IMPACT_MATRIX.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,4FDB3BF9DF5EB32B2FFB26C8E457E4E5364025CD
LS-WS-0060,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHANGE_IMPACT_MATRIX.md,1,Purpose,3,6,GOVERNANCE,HIGH,NO,A47CD530DDC5449EF671874DAD17FC80E29BA67A
LS-WS-0060,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHANGE_IMPACT_MATRIX.md,2,Matrix,7,25,GOVERNANCE,HIGH,NO,D6F1930027EBEF5CF771F8175F5A55C8EA65E6D4
LS-WS-0060,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHANGE_IMPACT_MATRIX.md,3,Final Rule,26,28,GOVERNANCE,HIGH,NO,F83CAB99730FC56E9C9C0EF69D0E0BE6D96E0895
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,0,(preamble/title),1,8,CONTEXT,CONTEXT,NO,45C5BB67EBA65973176277AB7F003425D0EB50F8
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,1,A. Foundation Alignment,9,19,GOVERNANCE,HIGH,NO,DDE78D30DB23A4B9F8BFD87C487EC6AC372D2C7C
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,2,B. Module Mapping,20,34,GOVERNANCE,HIGH,NO,0D596665432763DA06C8F9AFC23E1BF3209E151D
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,3,C. Runtime Artifact Flow,35,45,GOVERNANCE,HIGH,NO,51EC04D42DA8C6D9A1D463E8BE4D70C0B4DEF9FD
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,4,D. API / Consumer Layer,46,57,GOVERNANCE,HIGH,NO,38EF5F7284F43B27A5C62BAAC4CDFCB88319FAAF
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,5,E. Persistence Layer,58,67,GOVERNANCE,HIGH,NO,20AC3F331316B01AB19966269FEF6EF2A393769A
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,6,F. Testing Layer,68,79,GOVERNANCE,HIGH,NO,73D90D6C48E8823D44AB19FD863918782A2DB535
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,7,G. Delivery Readiness,80,90,GOVERNANCE,HIGH,NO,58E1A61235996BCA595200FE36990C078CC466D2
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,8,H. Boundary Notes,91,98,GOVERNANCE,HIGH,NO,2B709318897ED035390176658970FB1313AE8CA3
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,9,I. Real-App Evidence / Layer C Applicability,99,109,GOVERNANCE,HIGH,NO,D768BB4C00D77C6BC01001AE6A920D8EF59FF185
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,10,J. Final Verdict,110,115,GOVERNANCE,HIGH,NO,79FFFBD29C3CFA8BAEB84A3DB63F206E68C6A33C
LS-WS-0062,,audit/implementation/WATCHLIST_IMPLEMENTATION_PROMPT_STANDARD.md,0,(preamble/title),1,48,CONTEXT,CONTEXT,NO,EAEE62C30D95E55465C79B7FE6A81B0E52125117
LS-WS-0062,,audit/implementation/WATCHLIST_IMPLEMENTATION_PROMPT_STANDARD.md,1,Database Dictionary Requirement for Implementation Prompts,49,59,GOVERNANCE,HIGH,NO,D0C15955617C15416CE7D6D1C2B9EE25E5F5C6F5
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,E99C09237E1FFC23149B575BBE47B7BDC3CDB51B
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,1,Tujuan,3,6,GOVERNANCE,HIGH,NO,19E89AB99B0284790EB0C846622C798ADA3AC1C3
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,2,Aturan Utama,7,12,GOVERNANCE,HIGH,NO,218AD89FCBAAF45EA132F5D1912CEA1088ADA6A3
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,3,Contoh Penerapan,13,23,GOVERNANCE,HIGH,NO,0016750BB7CBB91BE557E56A7EF8DCA0FAB9507A
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,4,Final Rule,24,26,GOVERNANCE,HIGH,NO,2D9E56ABD1DA8487543F188353A9C5774C0E1D3C
