legacy_source_id,original_path,original_sha1,current_primary_path,current_role,source_storage_policy,current_verification_effect,notes,semantic_audit_status,split_extract_count,split_index
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,10,LEGACY_SPLIT_INDEX.csv
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,8,LEGACY_SPLIT_INDEX.csv
LS-MD-0021,audit/COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTORY.md,DDF61DF585B439719BE513385796A126871558FD,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,2,LEGACY_SPLIT_INDEX.csv
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,10,LEGACY_SPLIT_INDEX.csv
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,7,LEGACY_SPLIT_INDEX.csv
LS-MD-0024,audit/EVIDENCE_EXPORT_RUNTIME_PROOF_INVENTORY.md,CE951167381AE5231B705EE619EA1FECEEC18A9E,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,7,LEGACY_SPLIT_INDEX.csv
LS-MD-0025,audit/EVIDENCE_HISTORICAL_LINEAGE_COMPLETENESS_INVENTORY.md,41DCC6ED7C59A480873EA7C1F71EEB470396403D,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,13,LEGACY_SPLIT_INDEX.csv
LS-MD-0026,audit/FAIL_SAFE_NO_SILENT_FAILURE_INVENTORY.md,968C8EDCD6CA2212F89EADAB5388BA2F831C0715,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,8,LEGACY_SPLIT_INDEX.csv
LS-MD-0027,audit/FULL_MARKET_DATA_PRODUCTION_READY_INVENTORY.md,4C0357CC7BA4A9338F34EBCF09A671716FC4A857,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,15,LEGACY_SPLIT_INDEX.csv
LS-MD-0028,audit/HASH_SEAL_DATASET_INTEGRITY_INVENTORY.md,C8D94C9D62FC23B2978DB75D31E851645BBF5CCF,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,6,LEGACY_SPLIT_INDEX.csv
LS-MD-0029,audit/IMPORT_PROMOTE_SEPARATION_INVENTORY.md,F6D6E4A0D59F66EB903E4C0FA59BB30AC736CBA6,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,2,LEGACY_SPLIT_INDEX.csv
LS-MD-0030,audit/LUMEN_CONTRACT_TRACKER.md,88A4CD4C9D12A578A2837DCB275B315C91D1492A,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,23,LEGACY_SPLIT_INDEX.csv
LS-MD-0031,audit/LUMEN_IMPLEMENTATION_STATUS.md,3FDDFFF0B53D431DAA71A8545F87173445A616F7,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,24,LEGACY_SPLIT_INDEX.csv
LS-MD-0032,audit/MARKET_BENCHMARK_INDICATOR_EXTENSION_INVENTORY.md,D0BE40DBBA4BFF89D35ED251D64531E8EF56FC39,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,18,LEGACY_SPLIT_INDEX.csv
LS-MD-0033,audit/MARKET_DATA_CONSUMER_READ_MODEL_INVENTORY.md,A63ADB11787063B5198FC2AB1A3E1DA244D95EC8,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,10,LEGACY_SPLIT_INDEX.csv
LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,53F8C0BDBA19E2AB4F630A31731FDB2210E19CEF,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,19,LEGACY_SPLIT_INDEX.csv
LS-MD-0035,audit/MARKET_DATA_PRODUCTION_PROOF_PACK.md,9D1E95DE0523A6EFF6B7E31DF54056B51CB33F26,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,24,LEGACY_SPLIT_INDEX.csv
LS-MD-0036,audit/OPERATIONAL_READINESS_INVENTORY.md,5052578CFB667B3B0F992126B669430E12EFBA12,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,5,LEGACY_SPLIT_INDEX.csv
LS-MD-0037,audit/OPS_COMMAND_SURFACE_RUNTIME_MATRIX_INVENTORY.md,D6E40A3FC4141C4D0798627BD21A5F34418206F8,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,14,LEGACY_SPLIT_INDEX.csv
LS-MD-0038,audit/OPS_ENVIRONMENT_BASELINE_INVENTORY.md,C4C8EC75AF93028E3F6AEFEF6E52E82B376969D5,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,16,LEGACY_SPLIT_INDEX.csv
LS-MD-0039,audit/PRODUCTION_VALIDATION_INVENTORY.md,A8D8B95268BF27AB2D2EE5D169FEE87AFCAF4EB7,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,23,LEGACY_SPLIT_INDEX.csv
LS-MD-0041,audit/README.md,E4EFE44CA0015983A64B6E04FF5940BFFB91E11C,records/history/archive/audit/README.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0040,audit/READ_SIDE_CONSUMER_SURFACE_FINAL_SWEEP_INVENTORY.md,89C4B1A3A221C2A0F9B52AA735566CF5C0F8B107,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,10,LEGACY_SPLIT_INDEX.csv
LS-MD-0042,audit/REPLAY_DETERMINISM_RUNTIME_PROOF_INVENTORY.md,7E5FB7DE9A03E174497EC8911DE7215EE2F3EEEC,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,7,LEGACY_SPLIT_INDEX.csv
LS-MD-0043,audit/REPLAY_HISTORICAL_DETERMINISM_HARDENING_INVENTORY.md,6831E28FEFD55DC99E3BEA0B303AC2A439016C86,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,8,LEGACY_SPLIT_INDEX.csv
LS-MD-0047,audit/SECTOR_IDXIC_AUTHORITY_RECONCILIATION_INVENTORY.md,405198AE0F209FD905AFE44C54D94E86B5512783,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,9,LEGACY_SPLIT_INDEX.csv
LS-MD-0053,audit/WEEKLY_SWING_PRIORITY1_INDICATOR_EXTENSION_INVENTORY.md,7DE98BB33121A3E580DB11E5BEE81D00CEC53353,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,8,LEGACY_SPLIT_INDEX.csv
LS-MD-0014,audit/checklists/CHECKLIST_CROSS_LAYER_CONSISTENCY.md,F1E748941DEEB4145786A866665721EAD972B3EA,records/history/archive/audit/checklists/CHECKLIST_CROSS_LAYER_CONSISTENCY.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0015,audit/checklists/CHECKLIST_DOMAIN_DRIFT.md,E2B7BBDA94C2B9D90514308850499429547FD9C1,records/history/archive/audit/checklists/CHECKLIST_DOMAIN_DRIFT.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0016,audit/checklists/CHECKLIST_LAYER_A_SYSTEM_DOCS.md,E4936AF6A1B94AB8FEF94DD52FDF0FA3F70A8B62,records/history/archive/audit/checklists/CHECKLIST_LAYER_A_SYSTEM_DOCS.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0017,audit/checklists/CHECKLIST_LAYER_B_IMPLEMENTATION_GUIDANCE.md,24B1B29B763A1A08220C54620CD60A8F3D1EB4B9,records/history/archive/audit/checklists/CHECKLIST_LAYER_B_IMPLEMENTATION_GUIDANCE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0018,audit/checklists/CHECKLIST_LAYER_C_REAL_IMPLEMENTATION_RUNTIME.md,48A83FE23E21A05FE03F336A783E64251E941215,records/history/archive/audit/checklists/CHECKLIST_LAYER_C_REAL_IMPLEMENTATION_RUNTIME.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0044,audit/reports/AUDIT_FINAL_STATE.md,4F88A2D91FB7215D7D64C2F3ACFED4764964CB20,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,19,LEGACY_SPLIT_INDEX.csv
LS-MD-0045,audit/reports/ORDERS_01_04_IMPLEMENTATION_EVIDENCE_2026-08-03.md,9EC579890FB2FB4256FE012CF3BD1CF68D55E90E,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,6,LEGACY_SPLIT_INDEX.csv
LS-MD-0046,audit/reports/README.md,849DF272AA5696C64A45AC9C0F99868B9012DCC7,records/history/archive/audit/reports/README.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0048,audit/templates/FILE_REVIEW_TEMPLATE.md,D695C493A0ED19D2FC67BAA77EB02569503D4004,records/history/archive/audit/templates/FILE_REVIEW_TEMPLATE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0049,audit/templates/FINAL_VERDICT_TEMPLATE.md,978C0842322832C8DB01F6EEB691421E01859686,records/history/archive/audit/templates/FINAL_VERDICT_TEMPLATE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0050,audit/templates/FINDINGS_REPORT_TEMPLATE.md,342CC9185810C8255A6E8240F63936CEEC8DDDC0,records/history/archive/audit/templates/FINDINGS_REPORT_TEMPLATE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0051,audit/templates/PACKAGE_INTAKE_TEMPLATE.md,F274AA4704F2DBD7CECDAA62F59C8C8073CBBF76,records/history/archive/audit/templates/PACKAGE_INTAKE_TEMPLATE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0052,audit/templates/REMEDIATION_PLAN_TEMPLATE.md,41FD8E0911C02DE0376D6021720D0F35013B719F,records/history/archive/audit/templates/REMEDIATION_PLAN_TEMPLATE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0054,backtest/Backtest_Metrics_and_Acceptance_Criteria_LOCKED.md,461A5B4AE488B75D48BD43D1A7E31E6B28D76AE8,authority/strategy/backtest/Backtest_Metrics_and_Acceptance_Criteria_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0055,backtest/Historical_Replay_and_Data_Quality_Backtest.md,81934283651529E5145B569089DB9D5E3585396F,authority/strategy/backtest/Historical_Replay_and_Data_Quality_Backtest.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0056,backtest/Point_In_Time_Backtest_Input_Contract_LOCKED.md,1429599447ABFB901C9CF9F0A5E1273229CD3284,authority/strategy/backtest/Point_In_Time_Backtest_Input_Contract_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0057,backtest/Replay_Results_Schema_MariaDB.sql,E4AEE34B9758E2ED707B98554ABDAAFFFA1D2DEE,development/implementation/db/backtest/Replay_Results_Schema_MariaDB.sql,IMPLEMENTATION_DB,MOVED_TO_ROLE_PRIMARY,NOT_ASSESSED_REVALIDATION_REQUIRED,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0058,book/Audit_Hash_and_Reproducibility_Contract_LOCKED.md,B907B13F18250A94A033F4C03E2A69B0D58C4AFB,authority/strategy/book/Audit_Hash_and_Reproducibility_Contract_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0061,book/CONSUMER_READ_CONTRACT_LOCKED.md,8C7559A9B0758EE6593D926ACCD16B7E0C27DBB1,authority/strategy/book/CONSUMER_READ_CONTRACT_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0059,book/Canonical_Row_History_and_Versioning_Policy_LOCKED.md,5CD4CA78786DA8194EB746C1A6818ACDD2FB50FA,authority/strategy/book/Canonical_Row_History_and_Versioning_Policy_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0060,book/Canonicalization_Contract_EOD_Bars.md,FDB0BEFBC83DBB6ADC03B99D8BB60EDF26F3353B,authority/strategy/book/Canonicalization_Contract_EOD_Bars.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0062,book/Consumer_Readability_Decision_Table_LOCKED.md,E2DFB224B21707E4FD4055FEBC104B2C3D636A42,authority/strategy/book/Consumer_Readability_Decision_Table_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0065,book/Corporate_Action_Impact_Flags_Contract.md,8C0BDE74471A9D4D7CBAE6736DAC81C97DCFBFCD,authority/strategy/book/Corporate_Action_Impact_Flags_Contract.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0063,book/Corporate_Action_and_Adjustment_Policy.md,AA4CB754D7027CD30E9F9E1CF95F9B7ADD6BEB0C,authority/strategy/book/Corporate_Action_and_Adjustment_Policy.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0064,book/Corporate_Action_and_Adjustment_Policy_Selected_Defaults_LOCKED.md,F96A93051816DF8F153F56B98FD1DB8F7293F2CB,authority/strategy/book/Corporate_Action_and_Adjustment_Policy_Selected_Defaults_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0066,book/Correction_Lifecycle_Safety_Contract.md,65E031D21C262AA99CFDD7DF69937E82DAA55F99,authority/strategy/book/Correction_Lifecycle_Safety_Contract.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0067,book/Coverage_Edge_Cases_Contract_LOCKED.md,08EF896C0C5F865E1260B8C719E20670DBB97327,authority/strategy/book/Coverage_Edge_Cases_Contract_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0068,book/Coverage_Gate_Enforcement_Contract_LOCKED.md,F4E8BD159DEC8EE87578D98DBA8F05483ECEB997,authority/strategy/book/Coverage_Gate_Enforcement_Contract_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0069,book/Coverage_Universe_Definition_LOCKED.md,2AEE0B5C853562F9EB9A0EA6098CD36F20C5DEC1,authority/strategy/book/Coverage_Universe_Definition_LOCKED.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0070,book/Current_Indicator_Recompute_Command_Contract.md,92E4BA3EC57565F9CFE8F707EE87B164D14A0DB8,authority/strategy/book/Current_Indicator_Recompute_Command_Contract.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
