legacy_source_id,original_path,source_sha1,section_start_line,section_end_line,heading,semantic_role,material_role,audit_disposition
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,59,64,Locked Evidence Check,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,65,77,Registry / Seed Sync Check,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,78,93,Validation State,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,94,100,Final Status,DECISION,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,101,106,Latest operational readiness full-suite evidence,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,107,121,Post-session 1-8 synchronization follow-up — 2026-05-18,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,122,128,Final post-session 1-8 synchronization closure — 2026-05-18,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,1,17,AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,18,25,Scope,GOVERNANCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,26,37,Source of truth ZIP,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,38,49,Governance files read,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,50,66,Session 1-8 synchronization matrix,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,67,79,Implementation status matrix,IMPLEMENTATION,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,80,92,Contract tracker matrix,GOVERNANCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,93,109,Proof matrix,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,110,121,Runtime proof matrix,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,122,131,Static guard matrix,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,132,144,Patch matrix,IMPLEMENTATION,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,145,155,Remaining risk matrix,FINDING,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,156,160,Manual validation commands,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,161,165,Previously supplied in this post-session pass,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,166,186,Final post-guard-scope closure proof,EVIDENCE,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,187,198,Final status rule,DECISION,YES,SPLIT_EXACT_SECTION
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,199,216,2026-05-24 — Market Benchmark + Indicator Extension Audit Docs Reconciliation,RESEARCH,YES,SPLIT_EXACT_SECTION
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,1,2,Audit Domain Boundary,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,3,13,What this domain is,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,14,22,What this domain is not,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,23,29,Allowed downstream mention,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,30,32,Disallowed downstream takeover,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,33,36,Drift severity,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,1,2,Audit Evidence Strength Model,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,3,21,Levels,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,22,24,Minimum requirement for Layer C claim,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,25,32,Disqualifiers for Layer C,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,33,37,Redacted evidence rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,1,2,Audit Layer Classification Rules,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,3,10,Layer A — System Docs,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,11,21,Layer B — Implementation Guidance,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,22,31,Layer C — Real Implementation / App Runtime,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,32,39,Allowed package classifications,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,40,45,Dominant-layer rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,46,53,Downgrade rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,54,62,Important classification notes,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,1,2,Audit Method,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,3,5,Purpose,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,6,17,Standard audit flow,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,18,26,Mandatory first-read anchors,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,27,53,Repo-shaped reading order,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,54,60,Intake questions,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,61,70,Review dimensions,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,71,80,Output requirement,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,81,89,Failure rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,90,97,Audit report persistence rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,1,2,Audit Normative vs Companion Rules,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,3,5,Purpose,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,6,21,Normative core materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,22,29,Normative support materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,30,32,System companion materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,33,38,Illustrative materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,39,41,Archived actual evidence,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,42,44,Audit materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,45,58,Folder role map,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,59,67,Conflict rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,68,74,Misread prevention rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,1,2,Audit Scope and Exclusions,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,3,12,Scope,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,13,21,Exclusions,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,22,28,Handling out-of-scope contamination,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,29,33,Non-goals of this audit,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,1,2,Audit Scoring and Verdict,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,3,12,Review dimensions,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,13,35,Status meanings,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,36,41,Suggested score bands,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,42,50,Verdict labels,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,51,52,Important note,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,1,2,Audit Traceability Rules,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,3,5,Definition,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,6,14,Minimum trace chain,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,15,20,Broken trace examples,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,21,22,Review expectation,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,1,4,📦 AUDIT UPDATE GOVERNANCE — V2 CURRENT RULES,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,5,16,Current authority model,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,17,28,Mandatory update rules,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,29,49,HISTORICAL PRE-V2 LUMEN GOVERNANCE — SUPERSEDED,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,50,66,🎯 TUJUAN UTAMA,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,67,68,1. 📌 PERAN FILE (TIDAK BOLEH TERTUKAR),HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,69,98,1.1 `LUMEN_IMPLEMENTATION_STATUS.md`,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
