legacy_source_id,original_path,original_sha1,audit_scope,semantic_roles,material_composite,split_extract_count,source_line_count,split_coverage,physical_original_retained,final_disposition
LS-MD-0032,audit/MARKET_BENCHMARK_INDICATOR_EXTENSION_INVENTORY.md,D0BE40DBBA4BFF89D35ED251D64531E8EF56FC39,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,18,245,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0033,audit/MARKET_DATA_CONSUMER_READ_MODEL_INVENTORY.md,A63ADB11787063B5198FC2AB1A3E1DA244D95EC8,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,10,334,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0034,audit/MARKET_DATA_IMPLEMENTATION_LEDGER.md,53F8C0BDBA19E2AB4F630A31731FDB2210E19CEF,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,19,3183,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0035,audit/MARKET_DATA_PRODUCTION_PROOF_PACK.md,9D1E95DE0523A6EFF6B7E31DF54056B51CB33F26,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,24,988,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0036,audit/OPERATIONAL_READINESS_INVENTORY.md,5052578CFB667B3B0F992126B669430E12EFBA12,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;IMPLEMENTATION;RESEARCH,YES,5,73,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0037,audit/OPS_COMMAND_SURFACE_RUNTIME_MATRIX_INVENTORY.md,D6E40A3FC4141C4D0798627BD21A5F34418206F8,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;IMPLEMENTATION;RESEARCH,YES,14,437,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0038,audit/OPS_ENVIRONMENT_BASELINE_INVENTORY.md,C4C8EC75AF93028E3F6AEFEF6E52E82B376969D5,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,16,729,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0039,audit/PRODUCTION_VALIDATION_INVENTORY.md,A8D8B95268BF27AB2D2EE5D169FEE87AFCAF4EB7,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,23,1110,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0040,audit/READ_SIDE_CONSUMER_SURFACE_FINAL_SWEEP_INVENTORY.md,89C4B1A3A221C2A0F9B52AA735566CF5C0F8B107,FULL_DOCUMENT,CONTEXT;EVIDENCE;FINDING;IMPLEMENTATION,YES,10,273,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0041,audit/README.md,E4EFE44CA0015983A64B6E04FF5940BFFB91E11C,FULL_DOCUMENT,HISTORY,NO,0,101,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0042,audit/REPLAY_DETERMINISM_RUNTIME_PROOF_INVENTORY.md,7E5FB7DE9A03E174497EC8911DE7215EE2F3EEEC,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING,YES,7,124,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0043,audit/REPLAY_HISTORICAL_DETERMINISM_HARDENING_INVENTORY.md,6831E28FEFD55DC99E3BEA0B303AC2A439016C86,FULL_DOCUMENT,CONTEXT;EVIDENCE;GOVERNANCE;IMPLEMENTATION,YES,8,119,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0044,audit/reports/AUDIT_FINAL_STATE.md,4F88A2D91FB7215D7D64C2F3ACFED4764964CB20,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,19,1309,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0045,audit/reports/ORDERS_01_04_IMPLEMENTATION_EVIDENCE_2026-08-03.md,9EC579890FB2FB4256FE012CF3BD1CF68D55E90E,FULL_DOCUMENT,CONTEXT;EVIDENCE;GOVERNANCE;IMPLEMENTATION,YES,6,111,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0046,audit/reports/README.md,849DF272AA5696C64A45AC9C0F99868B9012DCC7,FULL_DOCUMENT,HISTORY,NO,0,62,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0047,audit/SECTOR_IDXIC_AUTHORITY_RECONCILIATION_INVENTORY.md,405198AE0F209FD905AFE44C54D94E86B5512783,FULL_DOCUMENT,CONTEXT;EVIDENCE;IMPLEMENTATION;RESEARCH,YES,9,339,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0048,audit/templates/FILE_REVIEW_TEMPLATE.md,D695C493A0ED19D2FC67BAA77EB02569503D4004,FULL_DOCUMENT,HISTORY,NO,0,12,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0049,audit/templates/FINAL_VERDICT_TEMPLATE.md,978C0842322832C8DB01F6EEB691421E01859686,FULL_DOCUMENT,HISTORY,NO,0,11,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0050,audit/templates/FINDINGS_REPORT_TEMPLATE.md,342CC9185810C8255A6E8240F63936CEEC8DDDC0,FULL_DOCUMENT,HISTORY,NO,0,12,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0051,audit/templates/PACKAGE_INTAKE_TEMPLATE.md,F274AA4704F2DBD7CECDAA62F59C8C8073CBBF76,FULL_DOCUMENT,HISTORY,NO,0,13,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0052,audit/templates/REMEDIATION_PLAN_TEMPLATE.md,41FD8E0911C02DE0376D6021720D0F35013B719F,FULL_DOCUMENT,HISTORY,NO,0,9,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0053,audit/WEEKLY_SWING_PRIORITY1_INDICATOR_EXTENSION_INVENTORY.md,7DE98BB33121A3E580DB11E5BEE81D00CEC53353,FULL_DOCUMENT,DECISION;EVIDENCE;GOVERNANCE;IMPLEMENTATION,YES,8,122,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0054,backtest/Backtest_Metrics_and_Acceptance_Criteria_LOCKED.md,461A5B4AE488B75D48BD43D1A7E31E6B28D76AE8,FULL_DOCUMENT,STRATEGY,NO,0,27,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0055,backtest/Historical_Replay_and_Data_Quality_Backtest.md,81934283651529E5145B569089DB9D5E3585396F,FULL_DOCUMENT,STRATEGY,NO,0,68,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0056,backtest/Point_In_Time_Backtest_Input_Contract_LOCKED.md,1429599447ABFB901C9CF9F0A5E1273229CD3284,FULL_DOCUMENT,STRATEGY,NO,0,41,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0057,backtest/Replay_Results_Schema_MariaDB.sql,E4AEE34B9758E2ED707B98554ABDAAFFFA1D2DEE,FULL_DOCUMENT,IMPLEMENTATION_DB,NO,0,,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0058,book/Audit_Hash_and_Reproducibility_Contract_LOCKED.md,B907B13F18250A94A033F4C03E2A69B0D58C4AFB,FULL_DOCUMENT,STRATEGY,NO,0,169,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0059,book/Canonical_Row_History_and_Versioning_Policy_LOCKED.md,5CD4CA78786DA8194EB746C1A6818ACDD2FB50FA,FULL_DOCUMENT,STRATEGY,NO,0,114,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0060,book/Canonicalization_Contract_EOD_Bars.md,FDB0BEFBC83DBB6ADC03B99D8BB60EDF26F3353B,FULL_DOCUMENT,STRATEGY,NO,0,147,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0061,book/CONSUMER_READ_CONTRACT_LOCKED.md,8C7559A9B0758EE6593D926ACCD16B7E0C27DBB1,FULL_DOCUMENT,STRATEGY,NO,0,65,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0062,book/Consumer_Readability_Decision_Table_LOCKED.md,E2DFB224B21707E4FD4055FEBC104B2C3D636A42,FULL_DOCUMENT,STRATEGY,NO,0,44,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0063,book/Corporate_Action_and_Adjustment_Policy.md,AA4CB754D7027CD30E9F9E1CF95F9B7ADD6BEB0C,FULL_DOCUMENT,STRATEGY,NO,0,169,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0064,book/Corporate_Action_and_Adjustment_Policy_Selected_Defaults_LOCKED.md,F96A93051816DF8F153F56B98FD1DB8F7293F2CB,FULL_DOCUMENT,STRATEGY,NO,0,89,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0065,book/Corporate_Action_Impact_Flags_Contract.md,8C0BDE74471A9D4D7CBAE6736DAC81C97DCFBFCD,FULL_DOCUMENT,STRATEGY,NO,0,57,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0066,book/Correction_Lifecycle_Safety_Contract.md,65E031D21C262AA99CFDD7DF69937E82DAA55F99,FULL_DOCUMENT,STRATEGY,NO,0,125,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0067,book/Coverage_Edge_Cases_Contract_LOCKED.md,08EF896C0C5F865E1260B8C719E20670DBB97327,FULL_DOCUMENT,STRATEGY,NO,0,172,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0068,book/Coverage_Gate_Enforcement_Contract_LOCKED.md,F4E8BD159DEC8EE87578D98DBA8F05483ECEB997,FULL_DOCUMENT,STRATEGY,NO,0,178,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0069,book/Coverage_Universe_Definition_LOCKED.md,2AEE0B5C853562F9EB9A0EA6098CD36F20C5DEC1,FULL_DOCUMENT,STRATEGY,NO,0,88,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0070,book/Current_Indicator_Recompute_Command_Contract.md,92E4BA3EC57565F9CFE8F707EE87B164D14A0DB8,FULL_DOCUMENT,STRATEGY,NO,0,142,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0071,book/Dataset_Seal_and_Freeze_Contract_LOCKED.md,8CA7FF9C2096326E0D6D2F12D5A62FFFD2ECA63A,FULL_DOCUMENT,STRATEGY,NO,0,51,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0072,book/Determinism_Invariants_LOCKED.md,4A2C80642D64993B0E17A7489E6E24A5E1415ADE,FULL_DOCUMENT,STRATEGY,NO,0,168,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0073,book/Domain_Boundary_Invariants_LOCKED.md,5637ED5D917635066E8F94C2E7C65C53DAE299F9,FULL_DOCUMENT,STRATEGY,NO,0,311,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0074,book/Downstream_Consumer_Read_Model_Contract_LOCKED.md,8717EB02874AAD084062C9C93D6E3E08AA14B29E,FULL_DOCUMENT,STRATEGY,NO,0,94,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0075,book/Downstream_Data_Readiness_Guarantee_LOCKED.md,DBB771D9A74BE99A1D3C3293A39F1B3FB29020DE,FULL_DOCUMENT,STRATEGY,NO,0,76,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0076,book/Effective_Trade_Date_Contract_LOCKED.md,7D3C3EDAEC7CE8D5550F92CE9EA2A8F02C481134,FULL_DOCUMENT,STRATEGY,NO,0,27,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0077,book/Eligibility_Partial_Data_Behavior_LOCKED.md,79067C60B394D1F7493F7790B1CE24E0952205FA,FULL_DOCUMENT,STRATEGY,NO,0,59,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0078,book/EOD_Bars_Contract.md,19F64F20E9B38E3D45C79E97862B1884157A7B50,FULL_DOCUMENT,STRATEGY,NO,0,141,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0079,book/EOD_COVERAGE_GATE_CONTRACT_LOCKED.md,9DC7B4144BCB09E0EB0B28F2B41876CDDB227166,FULL_DOCUMENT,STRATEGY,NO,0,145,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0080,book/EOD_Cutoff_and_Finalization_Contract_LOCKED.md,8569C53CC6EB4F110B76E3043B522ACBDE73B9B7,FULL_DOCUMENT,STRATEGY,NO,0,53,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0081,book/EOD_Data_Retention_and_History_Rewrite_Policy_LOCKED.md,418920341E7E60F371E46879793441E9607544E2,FULL_DOCUMENT,STRATEGY,NO,0,101,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0082,book/EOD_Eligibility_Snapshot_Contract_LOCKED.md,E0AE7FDFCC7E5B04549A65666EC204739B9251FD,FULL_DOCUMENT,STRATEGY,NO,0,133,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0083,book/EOD_Indicators_Contract.md,D70186C635CBB9EF4F54ABD4AE0AB725E5F38FDB,FULL_DOCUMENT,STRATEGY,NO,0,88,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0084,book/EOD_SOURCE_OPERATIONAL_RESILIENCE_CONTRACT_LOCKED.md,041B584C82FDA614B7862CFFF1E949C7EB987A99,FULL_DOCUMENT,STRATEGY,NO,0,360,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0085,book/Finalize_Lock_And_Pointer_Behavior_LOCKED.md,270FE0D2D095D4FD1A70B750DDDC0F82600A9DFB,FULL_DOCUMENT,STRATEGY,NO,0,135,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0086,book/Force_Replace_Operator_Control_Policy_LOCKED.md,AEEB8CEE15370DFE9D675C580FA83D8A846A705C,FULL_DOCUMENT,STRATEGY,NO,0,161,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0087,book/Hash_Number_Formatting_LOCKED.md,EBEB8BC26F5624EE230207CEF89C1E4AC49B256A,FULL_DOCUMENT,STRATEGY,NO,0,39,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0088,book/Historical_Correction_and_Reseal_Contract_LOCKED.md,3E6C8B81F391A848822415981C9DED121148EE80,FULL_DOCUMENT,STRATEGY,NO,0,226,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0089,book/Import_Promote_Separation_Contract.md,F79FF1A3D106029F9A76793BDB1FFD9E1941FF4A,FULL_DOCUMENT,STRATEGY,NO,0,63,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0090,book/INDEX.md,7449D43B52C0652DC2279843BEBD9B1A56ECE3B8,FULL_DOCUMENT,HISTORY,NO,0,111,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
